"","육교명","도로종류","도로노선번호","도로노선명","소재지도로명주소","위도","경도","육교연장","육교높이","허용통행하중","통행제한높이","육교폭","난간높이","조명개수","장애인편의시설설치여부","장애인편의시설종류","장애인편의시설수량","부대시설종류","부대시설수량","육교준공일자","내진설계적용여부","안전등급","사용제한구분","육교보수보강내역","최종안전점검유형","최종안전점검일자","관리기관명","데이터기준일자"
"51","신영로타리 보도육교","특별시도","4901번","세검정로9길 1 앞","서울특별시 종로구 세검정로",37.603668,126.961852,NA,NA,NA,4.5,NA,NA,NA,"N","없음",NA,NA,NA,NA,NA,"보통","제한없음",NA,"정기점검","2017-09-08","종로구청 도로과","2017-11-07"
"52","세검 보도육교","특별시도","4901번","세검정로 265 앞","서울특별시 종로구 세검정로",37.602095,126.961137,NA,NA,NA,4.5,NA,NA,NA,"N","없음",NA,NA,NA,NA,NA,"불량","제한없음",NA,"정기점검","2017-09-08","종로구청 도로과","2017-11-07"
"53","서울예고앞 보도육교","특별시도","4901번","평창문화로 65 앞","서울특별시 종로구 평창문화로",37.606153,126.968444,NA,NA,NA,4.5,NA,NA,NA,"N","없음",NA,NA,NA,NA,NA,"불량","제한없음",NA,"정기점검","2017-09-08","종로구청 도로과","2017-11-07"
"54","숭의리라초교","시도","00번","소파로","서울특별시 중구 소파로2길 7, 앞",37.55806,126.987214,26.2,NA,NA,4.8,3.4,NA,NA,"N","없음",NA,NA,NA,NA,NA,"보통","제한없음",NA,"정밀점검","2017-07-19","중구청도로시설과","2017-11-23"
"55","충무초교앞","시도","00번","동호로","서울특별시 중구 퇴계로50길 13, 앞",37.56232,127.002642,28.7,NA,NA,4.2,4,NA,NA,"N","없음",NA,NA,NA,NA,NA,"보통","제한없음",NA,"정밀점검","2017-07-19","중구청도로시설과","2017-11-23"
"56","우신초교 앞 보도육교","시도","147","신길로","서울특별시 영등포구 신길로 190",37.509263,126.910801,NA,NA,NA,4.5,NA,NA,NA,"N","없음",NA,NA,NA,NA,NA,"보통","제한없음",NA,"정기점검","2017-09-04","영등포구청","2017-11-15"
"57","영등포수원지 앞 보도육교","시도","199","노들로","서울특별시 영등포구 양화동 1",37.547472,126.883871,NA,NA,NA,4.5,NA,NA,NA,"N","없음",NA,NA,NA,NA,NA,"보통","제한없음",NA,"정기점검","2017-09-04","영등포구청","2017-11-15"
"58","영등포역 횡단 보도육교","기타","없음","경인선","서울특별시 영등포구 경인로94길 7",37.513895,126.903695,NA,NA,NA,4.5,NA,NA,NA,"N","없음",NA,NA,NA,NA,NA,"보통","제한없음",NA,"정기점검","2017-09-04","영등포구청","2017-11-15"
"59","문래 보도육교","시도","245","서부간선도로","서울특별시 영등포구 문래로4길 4",37.520246,126.882018,NA,NA,NA,4.5,NA,NA,NA,"Y","엘리베이터",NA,NA,NA,NA,NA,"양호","제한없음",NA,"정기점검","2017-09-04","영등포구청","2017-11-15"
"60","양평1 보도육교","시도","245","서부간선도로","서울특별시 영등포구 양산로 3",37.526193,126.883081,NA,NA,NA,4.5,NA,NA,NA,"Y","엘리베이터",NA,NA,NA,NA,NA,"양호","제한없음",NA,"정기점검","2017-09-04","영등포구청","2017-11-15"
"61","양평2 보도육교","시도","245","서부간선도로","서울특별시 영등포구 양평로21길 26",37.533447,126.891821,NA,NA,NA,4.5,NA,NA,NA,"Y","엘리베이터",NA,NA,NA,NA,NA,"양호","제한없음",NA,"정기점검","2017-09-04","영등포구청","2017-11-15"
"62","도림 보도육교","기타","없음","도림천","서울특별시 영등포구 도영로7길 15",37.508955,126.892771,NA,NA,NA,4.5,NA,NA,NA,"N","없음",NA,NA,NA,NA,NA,"양호","제한없음",NA,"정기점검","2017-09-04","영등포구청","2017-11-15"
"63","선유도 기존보도육교","시도","199","노들로","서울특별시 영등포구 양평로24길 36",37.541546,126.895135,NA,NA,NA,4.5,NA,NA,NA,"Y","엘리베이터",NA,NA,NA,NA,NA,"양호","제한없음",NA,"정기점검","2017-09-04","영등포구청","2017-11-15"
